Timestamp,id,type,X,Y
2014-6-06 08:01:35,352086,check-in,99,77
2014-6-06 08:02:23,352086,movement,98,77
2014-6-06 08:02:35,352086,movement,97,76
2014-6-06 08:02:47,352086,movement,96,76
2014-6-06 08:02:59,352086,movement,95,77
2014-6-06 08:03:11,352086,movement,94,76
2014-6-06 08:03:23,352086,movement,93,77
2014-6-06 08:03:35,352086,movement,92,78
2014-6-06 08:03:47,352086,movement,91,78
2014-6-06 08:03:59,352086,movement,90,79
2014-6-06 08:04:11,352086,movement,89,79
2014-6-06 08:04:23,352086,movement,88,79
2014-6-06 08:04:35,352086,movement,87,80
2014-6-06 08:04:47,352086,movement,86,80
2014-6-06 08:04:59,352086,movement,85,79
2014-6-06 08:05:11,352086,movement,84,79
2014-6-06 08:05:23,352086,movement,83,78
2014-6-06 08:05:35,352086,movement,82,79
2014-6-06 08:05:47,352086,movement,81,79
2014-6-06 08:05:59,352086,movement,80,78
2014-6-06 08:06:11,352086,movement,79,77
2014-6-06 08:06:23,352086,movement,78,76
2014-6-06 08:06:35,352086,movement,77,76
2014-6-06 08:06:47,352086,movement,76,77
2014-6-06 08:06:59,352086,movement,75,77
2014-6-06 08:07:11,352086,movement,74,77
2014-6-06 08:07:23,352086,movement,73,78
2014-6-06 08:07:35,352086,movement,73,79
2014-6-06 08:07:44,352086,check-in,73,79
2014-6-06 08:15:28,352086,movement,73,78
2014-6-06 08:15:40,352086,movement,74,77
2014-6-06 08:15:52,352086,movement,75,77
2014-6-06 08:16:04,352086,movement,76,78
2014-6-06 08:16:16,352086,movement,77,78
2014-6-06 08:16:28,352086,movement,78,77
2014-6-06 08:16:40,352086,movement,79,77
2014-6-06 08:16:52,352086,movement,80,78
2014-6-06 08:17:04,352086,movement,81,77
2014-6-06 08:17:16,352086,movement,82,78
2014-6-06 08:17:28,352086,movement,83,78
2014-6-06 08:17:40,352086,movement,84,78
2014-6-06 08:17:52,352086,movement,85,79
2014-6-06 08:18:04,352086,movement,86,80
2014-6-06 08:18:16,352086,movement,87,81
2014-6-06 08:18:28,352086,movement,88,80
2014-6-06 08:18:40,352086,movement,89,79
2014-6-06 08:18:52,352086,movement,90,79
2014-6-06 08:19:04,352086,movement,91,80
2014-6-06 08:19:16,352086,movement,92,81
2014-6-06 08:19:21,352086,check-in,92,81
